Category,Main_Category,Country,Pledged,Backers,Support,category_choice
Illustration,Art,US,22377,287,77.9686,Worse
Illustration,Art,US,52500,194,270.6186,Best
Art,Art,US,28160,223,126.2780,Best
Ceramics,Art,US,39111,142,275.4296,Best
"Mixed Media",Art,US,39787,999,39.8268,Worse
Sculpture,Art,US,23631,168,140.6607,Best
Art,Art,US,21816,362,60.2652,Worse
"Public Art",Art,US,24219,351,69.0000,Worse
Ceramics,Art,US,34099,508,67.1240,Worse
"Mixed Media",Art,CA,422391,1291,327.1813,Best
"Public Art",Art,GB,23131,683,33.8668,Worse
Art,Art,CA,22990,374,61.4706,Worse
"Digital Art",Art,US,33076,257,128.7004,Best
Art,Art,US,31994,387,82.6718,Worse
"Public Art",Art,US,32523,333,97.6667,Best
Art,Art,US,20052,221,90.7330,Best
"Mixed Media",Art,US,80628,434,185.7788,Best
Illustration,Art,US,28217,403,70.0174,Worse
Sculpture,Art,US,51436,818,62.8802,Worse
Art,Art,GB,37622,552,68.1558,Worse
Art,Art,US,27034,172,157.1744,Best
Art,Art,US,35109,472,74.3835,Worse
Illustration,Art,US,24950,420,59.4048,Worse
"Public Art",Art,CA,29460,391,75.3453,Worse
Art,Art,US,76013,1557,48.8202,Worse
Illustration,Art,US,57620,1756,32.8132,Worse
Art,Art,US,74228,1522,48.7700,Worse
"Video Art",Art,GB,105040,359,292.5905,Best
"Performance Art",Art,US,20901,201,103.9851,Best
"Public Art",Art,CA,25411,182,139.6209,Best
Sculpture,Art,US,35301,179,197.2123,Best
Painting,Art,US,21123,282,74.9043,Worse
Illustration,Art,US,28861,803,35.9415,Worse
"Public Art",Art,US,21514,311,69.1768,Worse
Art,Art,US,27238,366,74.4208,Worse
Art,Art,US,31018,340,91.2294,Best
"Mixed Media",Art,US,27809,470,59.1681,Worse
Art,Art,US,40792,176,231.7727,Best
Painting,Art,US,22142,207,106.9662,Best
Art,Art,US,21538,230,93.6435,Best
Art,Art,GB,75944,304,249.8158,Best
"Digital Art",Art,US,23946,418,57.2871,Worse
Sculpture,Art,GB,31106,291,106.8935,Best
"Public Art",Art,US,30155,264,114.2235,Best
Art,Art,US,22722,110,206.5636,Best
Art,Art,US,25415,236,107.6907,Best
Art,Art,US,130001,1117,116.3841,Best
"Digital Art",Art,US,55751,929,60.0118,Worse
Illustration,Art,US,90020,3071,29.3129,Worse
Sculpture,Art,US,24486,209,117.1579,Best
